business_type,years_in_business,registered,monthly_revenue_pkr,employees,premises_owned,years_at_premises,avg_monthly_inflow_pkr,avg_monthly_outflow_pkr,net_cashflow_pkr,bounced_cheques,account_age_months,has_existing_loan,existing_installment_pkr,requested_amount_pkr,debt_burden_ratio,turnover_to_loan_ratio,repaid
services,3,1,136000.0,6,1,3,113000.0,101000.0,12000.0,0,36,0,0.0,3826000.0,0.0,0.3544306452931858,1
retail_wholesale,6,0,809000.0,6,0,6,726000.0,694000.0,32000.0,0,72,0,0.0,903000.0,0.0,9.64419373542788,1
services,5,0,822000.0,4,0,5,517000.0,453000.0,64000.0,3,60,0,0.0,3491000.0,0.0,1.777273231930616,1
services,9,1,3561000.0,4,0,8,3065000.0,2360000.0,705000.0,0,60,0,0.0,1548000.0,0.0,23.752099231676468,1
retail_wholesale,2,0,333000.0,5,1,2,274000.0,238000.0,36000.0,0,24,0,0.0,7906000.0,0.0,0.4159034066413497,1
light_manufacturing,4,0,874000.0,3,0,4,461000.0,375000.0,86000.0,1,48,0,0.0,1786000.0,0.0,3.0967648668809162,1
services,8,1,889000.0,4,1,8,563000.0,461000.0,102000.0,0,96,0,0.0,3449000.0,0.0,1.9588831403597236,1
services,1,0,504000.0,3,0,1,296000.0,288000.0,8000.0,4,12,1,34000.0,1797000.0,0.11486486486486487,1.9766656357256314,0
retail_wholesale,10,0,1368000.0,5,1,5,1048000.0,815000.0,233000.0,2,30,0,0.0,7472000.0,0.0,1.683083287200671,1
food,9,0,1411000.0,2,1,2,1019000.0,847000.0,172000.0,0,71,0,0.0,1471000.0,0.0,8.31441997453781,1
retail_wholesale,7,0,902000.0,4,0,7,629000.0,468000.0,161000.0,0,84,1,186000.0,4024000.0,0.2957074721780604,1.8758880511003806,0
light_manufacturing,9,0,503000.0,1,1,8,405000.0,304000.0,101000.0,0,82,1,112000.0,2913000.0,0.2765432098765432,1.6684324415870022,1
textiles,4,1,455000.0,5,1,4,288000.0,250000.0,38000.0,0,48,0,0.0,2549000.0,0.0,1.3557823847048365,0
services,15,0,166000.0,7,0,9,108000.0,98000.0,10000.0,0,160,1,35000.0,2295000.0,0.32407407407407407,0.564808228939741,1
retail_wholesale,14,0,290000.0,3,0,9,246000.0,216000.0,30000.0,0,168,0,0.0,1340000.0,0.0,2.202390225660676,1
retail_wholesale,8,1,349000.0,2,0,8,310000.0,246000.0,64000.0,3,78,0,0.0,500000.0,0.0,7.44,1
textiles,6,1,211000.0,1,1,6,171000.0,123000.0,48000.0,0,72,1,41000.0,3811000.0,0.23976608187134502,0.5385001421948762,0
retail_wholesale,10,1,1009000.0,4,0,10,592000.0,492000.0,100000.0,1,73,0,0.0,1492000.0,0.0,4.762697890194729,0
services,3,0,2151000.0,4,0,3,1172000.0,986000.0,186000.0,0,36,1,450000.0,4035000.0,0.3839590443686007,3.485847062341277,1
textiles,9,0,262000.0,5,1,9,153000.0,140000.0,13000.0,0,108,0,0.0,2470000.0,0.0,0.7433587216367653,1
services,8,0,863000.0,5,0,1,577000.0,507000.0,70000.0,0,96,0,0.0,4109000.0,0.0,1.6848767035200976,1
retail_wholesale,4,1,231000.0,2,1,4,137000.0,129000.0,8000.0,0,48,1,44000.0,3236000.0,0.32116788321167883,0.5080627090594829,0
light_manufacturing,8,1,479000.0,2,0,8,412000.0,379000.0,33000.0,0,96,0,0.0,500000.0,0.0,9.888,1
services,15,0,326000.0,5,0,9,250000.0,201000.0,49000.0,0,180,0,0.0,2892000.0,0.0,1.0372030739303342,1
services,1,0,1187000.0,2,0,1,791000.0,694000.0,97000.0,1,12,0,0.0,1627000.0,0.0,5.832860019075237,1
retail_wholesale,2,0,330000.0,2,0,2,201000.0,183000.0,18000.0,0,24,1,41000.0,4024000.0,0.20398009950248755,0.5994770338698787,0
food,5,0,1788000.0,6,1,5,1166000.0,1129000.0,37000.0,0,52,1,207000.0,2852000.0,0.17753001715265868,4.906761049474803,0
retail_wholesale,9,0,508000.0,7,1,9,351000.0,287000.0,64000.0,1,71,0,0.0,2872000.0,0.0,1.4666912169307298,0
retail_wholesale,7,0,339000.0,2,0,1,267000.0,235000.0,32000.0,0,84,0,0.0,1699000.0,0.0,1.8862647033217237,1
services,9,0,186000.0,3,0,9,99000.0,80000.0,19000.0,0,108,0,0.0,1157000.0,0.0,1.0270470630439446,1
services,4,0,837000.0,1,0,4,703000.0,637000.0,66000.0,0,48,0,0.0,1543000.0,0.0,5.4689861802606,1
light_manufacturing,6,1,1591000.0,2,1,6,877000.0,838000.0,39000.0,0,72,1,155000.0,679000.0,0.17673888255416192,15.493902191752618,1
retail_wholesale,12,1,854000.0,2,0,12,517000.0,495000.0,22000.0,0,137,0,0.0,1403000.0,0.0,4.42050218204162,1
retail_wholesale,7,1,6099000.0,5,0,7,5473000.0,4072000.0,1401000.0,0,84,1,442000.0,831000.0,0.08076009501187649,79.05010098312056,1
food,8,1,2716000.0,3,1,8,1564000.0,1184000.0,380000.0,0,96,0,0.0,844000.0,0.0,22.234621333241027,1
retail_wholesale,6,1,478000.0,2,0,2,258000.0,235000.0,23000.0,0,72,0,0.0,2145000.0,0.0,1.4435082954011016,1
retail_wholesale,4,0,473000.0,3,0,4,357000.0,313000.0,44000.0,0,48,1,114000.0,2755000.0,0.31932773109243695,1.5547435436362282,0
food,9,1,1040000.0,2,0,9,683000.0,651000.0,32000.0,3,108,0,0.0,1962000.0,0.0,4.176924198191011,1
retail_wholesale,11,0,281000.0,3,0,11,151000.0,119000.0,32000.0,0,132,1,16000.0,1483000.0,0.10596026490066225,1.2220848888294502,1
services,6,0,2087000.0,2,1,6,1046000.0,981000.0,65000.0,0,72,0,0.0,1133000.0,0.0,11.08039945111688,1
retail_wholesale,3,0,933000.0,7,0,3,496000.0,442000.0,54000.0,2,9,1,115000.0,1653000.0,0.2318548387096774,3.5998634435294066,0
services,9,0,840000.0,2,0,4,596000.0,450000.0,146000.0,0,83,0,0.0,1221000.0,0.0,5.856655354625597,1
services,8,1,1292000.0,3,0,8,765000.0,563000.0,202000.0,0,86,0,0.0,1926000.0,0.0,4.766338830170666,1
retail_wholesale,5,0,3640000.0,3,1,3,2952000.0,2647000.0,305000.0,0,60,1,663000.0,803000.0,0.22459349593495934,44.1309539743537,0
services,25,1,771000.0,4,1,12,650000.0,484000.0,166000.0,2,197,0,0.0,3046000.0,0.0,2.560457635064369,1
services,15,0,581000.0,3,0,8,324000.0,299000.0,25000.0,0,17,0,0.0,1423000.0,0.0,2.7318154256904394,1
retail_wholesale,8,1,2939000.0,6,1,6,1865000.0,1596000.0,269000.0,0,90,0,0.0,2507000.0,0.0,8.92866048676012,1
retail_wholesale,8,1,1710000.0,4,1,8,956000.0,797000.0,159000.0,4,96,1,387000.0,3406000.0,0.40481171548117156,3.36836985883239,0
services,15,0,472000.0,4,0,15,290000.0,225000.0,65000.0,0,101,1,82000.0,2435000.0,0.2827586206896552,1.4292682272069734,0
retail_wholesale,13,0,653000.0,9,0,13,389000.0,379000.0,10000.0,1,40,0,0.0,3230000.0,0.0,1.4449973101944211,1
retail_wholesale,6,0,790000.0,5,1,6,644000.0,581000.0,63000.0,0,72,0,0.0,579000.0,0.0,13.35227088416066,1
retail_wholesale,8,0,933000.0,5,0,8,596000.0,547000.0,49000.0,0,96,0,0.0,1488000.0,0.0,4.806450430868528,1
services,5,1,167000.0,3,0,5,117000.0,107000.0,10000.0,1,60,0,0.0,3877000.0,0.0,0.36216047110696425,1
services,2,0,139000.0,4,0,2,107000.0,92000.0,15000.0,4,24,0,0.0,2715000.0,0.0,0.4729788063893467,0
services,1,1,268000.0,7,0,1,222000.0,214000.0,8000.0,0,12,1,14000.0,6063000.0,0.06306306306306306,0.4393774733387011,1
services,7,1,248000.0,3,0,7,154000.0,133000.0,21000.0,0,50,0,0.0,5561000.0,0.0,0.33231515598401457,1
food,15,1,341000.0,3,1,5,199000.0,168000.0,31000.0,1,180,0,0.0,2394000.0,0.0,0.9975567239696278,0
textiles,5,1,1226000.0,4,1,1,1093000.0,849000.0,244000.0,0,60,0,0.0,1719000.0,0.0,7.628359760335148,1
retail_wholesale,6,1,549000.0,3,0,6,345000.0,269000.0,76000.0,2,72,0,0.0,1125000.0,0.0,3.678892791804079,1
retail_wholesale,4,0,791000.0,4,0,4,608000.0,551000.0,57000.0,0,48,0,0.0,1503000.0,0.0,4.853325846746312,1
services,1,1,191000.0,1,0,1,147000.0,117000.0,30000.0,0,12,0,0.0,1565000.0,0.0,1.126803566438289,1
food,5,1,410000.0,4,0,5,289000.0,261000.0,28000.0,2,17,0,0.0,1401000.0,0.0,2.475346518728003,1
textiles,6,0,1169000.0,3,1,6,692000.0,669000.0,23000.0,3,72,1,63000.0,1153000.0,0.09104046242774566,7.203685676126691,0
